run,variant,threshold,precision,recall,f1,accuracy,tp,fp,fn,tn,rows
run_11,prefix_only,0.859,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_12,prefix_only,0.854,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_13,prefix_only,0.857,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_14,prefix_only,0.859,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_15,prefix_only,0.872,0.9988843305359769,0.9595126763551257,0.9788027391680627,0.9793099025483085,16662853,18611,703101,17497436,34882001
run_16,prefix_only,0.851,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_17,prefix_only,0.858,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_18,prefix_only,0.848,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_19,prefix_only,0.849,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_20,prefix_only,0.87,0.9988843305359769,0.9595126763551257,0.9788027391680627,0.9793099025483085,16662853,18611,703101,17497436,34882001
run_21,prefix_only,0.852,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_22,prefix_only,0.855,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_23,prefix_only,0.858,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_24,prefix_only,0.863,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_25,prefix_only,0.859,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_26,prefix_only,0.858,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_27,prefix_only,0.854,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_28,prefix_only,0.856,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
run_29,prefix_only,0.852,0.9988810971662054,0.9595127915229995,0.9788012467532833,0.9793084118081414,16662855,18665,703099,17497382,34882001
